alg,k,test_acc,test_acc_pi,C_pi,C_unif,mean_test_acc,min_test_acc,max_test_acc,min_train_loss,max_train_loss,rho2_k,gamma_k,beta_k,byz_w_k
RDSGD,0,0.6867532467532468,0.6867532467532468,0.05825477599951423,0.05825477599951423,0.49284271284271275,0.34679653679653677,0.6583982683982684,1.87749854094526,2.2283772556835557,0.01653938267332852,0.0,0.9285714285714064,0.22379953379953385
RDSGD,1,0.7078787878787879,0.7078787878787879,0.08564223919008612,0.08564223919008615,0.5899653679653679,0.41385281385281386,0.7028138528138528,1.718493192311627,2.1180294081807074,0.012093494091023607,0.0,0.8333333333333135,0.20268065268065275
RDSGD,2,0.7351948051948052,0.7351948051948052,0.09229716991469018,0.09229716991469016,0.6484761904761905,0.4844155844155844,0.7483982683982684,1.6797065742923596,2.0135251048208245,0.00989513466023921,0.0,0.690476190476174,0.16808080808080808
RDSGD,3,0.7510822510822511,0.7510822510822511,0.0928590841026293,0.09285908410262933,0.6915209235209236,0.534069264069264,0.777012987012987,1.5785608315768491,1.9491368477515754,0.008410577853576068,0.0,0.6190476190476043,0.15073038073038086
RDSGD,4,0.7658441558441559,0.7658441558441559,0.08706261119107869,0.08706261119107873,0.7170937950937951,0.5806060606060606,0.7952813852813853,1.520893171486429,1.8997955344941508,0.006979847314219432,0.0,0.6666666666666508,0.16345765345765356
RDSGD,5,0.7757575757575758,0.7757575757575758,0.08073987737752651,0.08073987737752655,0.7366897546897547,0.6268831168831169,0.8068398268398268,1.5436392594879529,1.8505808112595938,0.006093943822865891,0.028571428571428165,0.6428571428571275,0.15679098679098688
RDSGD,6,0.7821645021645022,0.7821645021645022,0.07082866966992023,0.07082866966992026,0.7512352092352094,0.6484848484848484,0.8108658008658008,1.5521520912184894,1.822136532524115,0.005475244337772271,0.014285714285714082,0.7142857142856972,0.17567987567987575
RDSGD,7,0.7813419913419913,0.7813419913419913,0.056952495623381484,0.0569524956233815,0.7602222222222221,0.672987012987013,0.8154545454545454,1.546369566293509,1.80385128576715,0.005117459607306272,0.0,0.7857142857142669,0.18995337995338005
RDSGD,8,0.7777922077922078,0.7777922077922078,0.04910721326962605,0.049107213269626054,0.7623578643578643,0.6846320346320346,0.814935064935065,1.5396329159985573,1.8142326330674092,0.004480833489916643,0.014285714285714082,0.7619047619047438,0.18439782439782448
RDSGD,9,0.7796969696969697,0.7796969696969697,0.04115945759432293,0.04115945759432294,0.7679278499278499,0.7014718614718615,0.8053679653679654,1.5255008842704556,1.793494943441836,0.003959013263370388,0.0,0.8095238095237902,0.19372183372183382
RDSGD,10,0.7777922077922078,0.7777922077922078,0.037153482480960745,0.037153482480960745,0.7687590187590188,0.7049783549783549,0.8071428571428572,1.5025210464318142,1.7844031717856719,0.0029732284343959225,0.0,0.7380952380952205,0.1783372183372184
