alg,k,test_acc,test_acc_pi,C_pi,C_unif,mean_test_acc,min_test_acc,max_test_acc,min_train_loss,max_train_loss,rho2_k,gamma_k,beta_k,byz_w_k
RDSGD,0,0.8114718614718615,0.8114718614718615,0.0462209507366454,0.046220950736645394,0.6829696969696969,0.5436796536796537,0.7333766233766233,1.8983868637642725,2.0973228920229614,0.022707627677757115,0.04687499999999927,0.9999999999999616,0.24761904761904763
RDSGD,1,0.8266233766233766,0.8266233766233766,0.09021897627071251,0.09021897627071249,0.7279105339105338,0.6848917748917749,0.7649350649350649,1.578155649062299,2.0102222718549068,0.001895991589977793,0.015624999999999757,0.2692307692307589,0.06666666666666665
RDSGD,2,0.8333766233766233,0.8333766233766233,0.11940363488021752,0.11940363488021749,0.7531284271284272,0.6695238095238095,0.7892640692640692,1.3863470789111714,1.9398852293198248,0.00031593733128183765,0.031249999999999514,0.11538461538461095,0.028571428571428567
RDSGD,3,0.8380952380952381,0.8380952380952381,0.11978597399806136,0.1197859739980613,0.773823953823954,0.6885714285714286,0.8016883116883117,1.3107094120479834,1.8344742227484603,0.0009193331771684195,0.031249999999999514,0.11538461538461095,0.028571428571428567
RDSGD,4,0.8391341991341992,0.8391341991341992,0.12069184095046642,0.1206918409504664,0.7863607503607501,0.7051515151515152,0.816060606060606,1.265148756049909,1.7924114102700557,0.0003075270781272082,0.04687499999999927,0.07692307692307397,0.019047619047619046
RDSGD,5,0.8425108225108225,0.8425108225108225,0.11314187170681438,0.11314187170681435,0.7998989898989899,0.7377922077922078,0.8234199134199134,1.2437486601261936,1.756033717462762,0.001177984076553948,0.04687499999999927,0.15384615384614794,0.038095238095238064
RDSGD,6,0.8427705627705627,0.8427705627705627,0.105989176311912,0.10598917631191196,0.8070793650793652,0.7512121212121212,0.8314718614718615,1.2246201498906828,1.739881336220365,0.0004208108845832663,0.04687499999999927,0.11538461538461095,0.02857142857142854
RDSGD,7,0.8432900432900433,0.8432900432900433,0.09182131683927754,0.0918213168392775,0.816204906204906,0.7688311688311689,0.8318181818181818,1.224766460052876,1.715001726209593,0.0011039665375606582,0.04687499999999927,0.19230769230768494,0.0476190476190476
RDSGD,8,0.8454545454545455,0.8454545454545455,0.09241747109233596,0.09241747109233593,0.8194747474747472,0.7800432900432901,0.8361904761904762,1.2186715826969519,1.7026679564032896,0.00032061656814559195,0.06249999999999903,0.11538461538461095,0.028571428571428557
RDSGD,9,0.8460606060606061,0.8460606060606061,0.07917232646231588,0.07917232646231583,0.8256565656565654,0.7888744588744588,0.838917748917749,1.2174451771897572,1.6995523101366785,0.0019927779666472295,0.06249999999999903,0.2307692307692219,0.05714285714285713
