alg,k,test_acc,test_acc_pi,C_pi,C_unif,mean_test_acc,min_test_acc,max_test_acc,min_train_loss,max_train_loss,rho2_k,gamma_k,beta_k,byz_w_k
RDSGD,0,0.7757142857142857,0.7757142857142857,0.07209560273239522,0.07209560273239521,0.6182135642135642,0.4713852813852814,0.7482251082251082,1.6176063354421388,2.1161216334206303,0.0015251025458054175,0.0,0.09090909090908679,0.019047619047619056
RDSGD,1,0.7931601731601732,0.7931601731601732,0.08693383060853224,0.08693383060853221,0.7047532467532468,0.6052813852813853,0.7853246753246753,1.5602956048753873,2.031046074754318,0.004282941152491601,0.0,0.18181818181817358,0.0380952380952381
RDSGD,2,0.805974025974026,0.805974025974026,0.09072726515607613,0.0907272651560761,0.7467301587301588,0.6676190476190477,0.8131601731601732,1.5262175774676732,1.962156834198568,0.0026991452054764783,0.0,0.13636363636363016,0.02857142857142858
RDSGD,3,0.814069264069264,0.814069264069264,0.09277251458666692,0.09277251458666688,0.7714083694083693,0.7026406926406926,0.8153246753246753,1.3431419967868212,1.8492731533553726,0.0,0.0,0.0,0.0
RDSGD,4,0.8228571428571428,0.8228571428571428,0.08034645896914208,0.08034645896914204,0.791974025974026,0.7367532467532467,0.8272294372294372,1.3972509499901922,1.8008982058555634,0.0006610151523615871,0.0,0.045454545454543395,0.009523809523809535
RDSGD,5,0.8274025974025974,0.8274025974025974,0.07499072440433999,0.07499072440433996,0.8041240981240982,0.759004329004329,0.8352813852813853,1.2967839132230727,1.7590367139166665,0.0,0.0,0.0,0.0
RDSGD,6,0.8301731601731601,0.8301731601731601,0.06850868753415378,0.06850868753415373,0.8110476190476191,0.7662337662337663,0.8375757575757575,1.25617764378487,1.7328701267682067,0.0013694594549979516,0.0,0.13636363636363016,0.028571428571428577
RDSGD,7,0.8315151515151515,0.8315151515151515,0.05295828212886095,0.05295828212886093,0.8165829725829725,0.7754545454545455,0.8371861471861471,1.3242038575440298,1.710220600568288,0.0014788119782132643,0.0,0.22727272727271697,0.047619047619047644
RDSGD,8,0.8322077922077922,0.8322077922077922,0.045008602724347264,0.045008602724347244,0.8203174603174603,0.7822077922077922,0.839047619047619,1.3404340601759792,1.707866480586901,0.0010579961301969971,0.0,0.22727272727271697,0.04761904761904766
RDSGD,9,0.8346753246753247,0.8346753246753247,0.03905605403155024,0.039056054031550234,0.8245050505050506,0.7934632034632034,0.84,1.3420981602561508,1.6963939611132084,0.0007836402278589151,0.0,0.22727272727271697,0.04761904761904766
RDSGD,10,0.8330735930735931,0.8330735930735931,0.032059849493720725,0.03205984949372072,0.8248369408369408,0.7972294372294372,0.8392207792207792,1.4005446031807545,1.6938396167661,0.001648168156613432,0.0,0.31818181818180374,0.06666666666666674
RDSGD,11,0.8315584415584416,0.8315584415584416,0.025121119975511412,0.02512111997551141,0.8261962481962482,0.8031168831168831,0.8395670995670995,1.422104473566812,1.7179758278506516,0.002108112336537729,0.0,0.45454545454543394,0.09523809523809529
RDSGD,12,0.8319047619047619,0.8319047619047619,0.02414506935766228,0.024145069357662266,0.8269927849927847,0.8087878787878788,0.837056277056277,1.382661377314897,1.734845525846563,0.0016003058572426126,0.014705882352940961,0.4999999999999773,0.10476190476190479
RDSGD,13,0.8302597402597403,0.8302597402597403,0.02054354648024955,0.02054354648024954,0.8267792207792208,0.8099134199134199,0.8378354978354978,1.4334910636279914,1.7372411231430434,0.0017466239654903015,0.014705882352940961,0.5909090909090641,0.12380952380952386
RDSGD,14,0.8292640692640693,0.8292640692640693,0.018200723035829463,0.018200723035829456,0.8254603174603173,0.8043722943722944,0.838051948051948,1.4429827640345145,1.7400043605793953,0.0019142127041174726,0.014705882352940961,0.5909090909090641,0.12380952380952383
RDSGD,15,0.8276623376623377,0.8276623376623377,0.014880187844877196,0.014880187844877192,0.8250966810966811,0.8097402597402598,0.8379653679653679,1.4485275760182812,1.738390538922758,0.0015140479619684837,0.0,0.5909090909090641,0.12380952380952383
RDSGD,16,0.8254978354978355,0.8254978354978355,0.01135395914607112,0.011353959146071114,0.8235844155844155,0.8074891774891775,0.8351948051948052,1.4774176216868313,1.7353175862962986,0.0017534215430452813,0.0,0.6818181818181509,0.1428571428571429
RDSGD,17,0.8236796536796537,0.8236796536796537,0.008623826203199706,0.008623826203199705,0.8223780663780663,0.8053679653679654,0.8328571428571429,1.4800218244647154,1.730321761260112,0.0018551236042930507,0.0,0.8636363636363245,0.18095238095238103
RDSGD,18,0.8213852813852814,0.8213852813852814,0.007676694838499211,0.007676694838499209,0.8202539682539682,0.8054545454545454,0.8294372294372294,1.4939162485760318,1.7350274015730989,0.001499674908736559,0.014705882352940961,0.818181818181781,0.17142857142857146
RDSGD,19,0.8187012987012987,0.8187012987012987,0.006758876932330682,0.006758876932330682,0.8185598845598846,0.8045454545454546,0.8285281385281386,1.494208078226717,1.7379402161096122,0.0012946098419374867,0.0,0.818181818181781,0.17142857142857149
RDSGD,20,0.8191774891774892,0.8191774891774892,0.005924536423406128,0.0059245364234061255,0.8183578643578645,0.8058874458874459,0.826926406926407,1.499181769694475,1.735119656131481,0.0012581058062828942,0.014705882352940961,0.8636363636363245,0.18095238095238098
