id,alpha_init,alpha_decay,graph_type,graph_weights,graph_args,reg_param,batch_sz,data_heterogeneity,timestamp,proj_const,C_fpr,C_fnr,C_tau,cv_ap,cv_params,prevalence,tau,tn,fp,fn,tp,beta_C,gamma_C,roc_auc,avg_prec,T3_RDSGD,T3_IOS,T3_SCC,T3_TriMean,T3_CooMed,wall_s,g,s2,pi,lam_pi,nu2,nu2_bound,L,mu,h,n_loc,f_star,f_pi_star,zeta_sq_pi,sigma_sq,dB_max,dB_pi,opt_gap_ub,opt_gap_emp,eps_opt,eps_byz,epsilon,byz_cons_floor,alpha_max_conv,alpha_max_stab,n,sys_K,train_K,b,atk_type,train_atks,val_atks
zZb_9-c4NuIwYnnw2DuzX,0.5,0.1,random-regular,MH,"{'er_p': np.float64(0.4493598410330987), 'rand_reg_deg': 5}",0.2,100,1,2026-08-04 16:32:18.361798,1.608515959918358,0.0771666666666666,0.1999999999999999,0.7482944216315335,0.936093069298066,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.175,0.804257979959179,30707,2293,876,6124,0.1251428571428571,0.0694848484848484,0.9592381796536796,0.882922547607033,{'test_acc': np.float64(0.865974025974026)},{'test_acc': np.float64(0.8396103896103896)},{'test_acc': np.float64(0.8533766233766233)},{'test_acc': np.float64(0.8572727272727273)},{'test_acc': np.float64(0.8574891774891775)},91.05307838899898,0.2662283644652325,0.7337716355347674,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8391122661840573,0.0296622402742231,0.0474746481481484,1.919617428313184,0.2,16,2345,1.5636066337756134,1.5636066337756134,0.2608879905954823,72.96534944839347,0.5,0.1875,0.2917058213555179,4.636799810722612e-31,0.0022511505022862,0.0164624234703797,0.018713573972666,3.234154491640095,0.0231147068280834,0.9435665008621972,20,200,200,4,sign_flip,"{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}","{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}"
zgAKfPo5ZBqE8HrHHjEBs,0.5,0.1,random-regular,MH,"{'er_p': np.float64(0.4493598410330987), 'rand_reg_deg': 5}",0.2,100,1,2026-08-04 16:33:50.092005,1.608515959918358,0.0771666666666666,0.1999999999999999,0.7482944216315335,0.936093069298066,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.175,0.804257979959179,30707,2293,876,6124,0.1251428571428571,0.0694848484848484,0.9592381796536796,0.882922547607033,{'test_acc': np.float64(0.8653679653679653)},{'test_acc': np.float64(0.8324242424242424)},{'test_acc': np.float64(0.8483116883116883)},{'test_acc': np.float64(0.8523809523809524)},{'test_acc': np.float64(0.8485281385281386)},97.57763571100077,0.2662283644652325,0.7337716355347674,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8391122661840573,0.0296622402742231,0.0474746481481484,1.919617428313184,0.2,16,2345,1.5636066337756134,1.5636066337756134,0.2608879905954823,72.96534944839347,0.5,0.1875,0.2917058213555179,4.636799810722612e-31,0.0022511505022862,0.0164624234703797,0.018713573972666,3.234154491640095,0.0231147068280834,0.9435665008621972,20,200,200,4,sign_flip,"{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}","{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}"
kpHyil14QRDVJJXdbS2n7,0.5,0.1,random-regular,MH,"{'er_p': np.float64(0.4493598410330987), 'rand_reg_deg': 5}",0.2,100,1,2026-08-04 16:35:28.076727,1.608515959918358,0.0771666666666666,0.1999999999999999,0.7482944216315335,0.936093069298066,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.175,0.804257979959179,30707,2293,876,6124,0.1251428571428571,0.0694848484848484,0.9592381796536796,0.882922547607033,{'test_acc': np.float64(0.8654978354978355)},{'test_acc': np.float64(0.8385714285714285)},{'test_acc': np.float64(0.847012987012987)},{'test_acc': np.float64(0.8525974025974026)},{'test_acc': np.float64(0.851991341991342)},95.57071695500052,0.2662283644652325,0.7337716355347674,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8391122661840573,0.0296622402742231,0.0474746481481484,1.919617428313184,0.2,16,2345,1.5636066337756134,1.5636066337756134,0.2608879905954823,72.96534944839347,0.5,0.1875,0.2917058213555179,4.636799810722612e-31,0.0022511505022862,0.0164624234703797,0.018713573972666,3.234154491640095,0.0231147068280834,0.9435665008621972,20,200,200,4,sign_flip,"{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}","{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}"
p0B-hXEkMf6pw1RtRxFlL,0.5,0.1,random-regular,MH,"{'er_p': np.float64(0.4493598410330987), 'rand_reg_deg': 5}",0.2,100,1,2026-08-04 16:37:04.233502,1.608515959918358,0.0771666666666666,0.1999999999999999,0.7482944216315335,0.936093069298066,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.175,0.804257979959179,30707,2293,876,6124,0.1251428571428571,0.0694848484848484,0.9592381796536796,0.882922547607033,{'test_acc': np.float64(0.865974025974026)},{'test_acc': np.float64(0.8336796536796537)},{'test_acc': np.float64(0.8395238095238096)},{'test_acc': np.float64(0.8418614718614719)},{'test_acc': np.float64(0.8325974025974026)},95.9574613349978,0.2662283644652325,0.7337716355347674,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8391122661840573,0.0296622402742231,0.0474746481481484,1.919617428313184,0.2,16,2345,1.5636066337756134,1.5636066337756134,0.2608879905954823,72.96534944839347,0.5,0.1875,0.2917058213555179,4.636799810722612e-31,0.0022511505022862,0.0164624234703797,0.018713573972666,3.234154491640095,0.0231147068280834,0.9435665008621972,20,200,200,4,sign_flip,"{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}","{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}"
u3eMracFgn8C8GruIjdJP,0.5,0.1,random-regular,MH,"{'er_p': np.float64(0.4493598410330987), 'rand_reg_deg': 5}",0.2,100,1,2026-08-04 16:38:40.631644,1.608515959918358,0.0771666666666666,0.1999999999999999,0.7482944216315335,0.936093069298066,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.175,0.804257979959179,30707,2293,876,6124,0.1251428571428571,0.0694848484848484,0.9592381796536796,0.882922547607033,{'test_acc': np.float64(0.8653679653679653)},{'test_acc': np.float64(0.8386147186147186)},{'test_acc': np.float64(0.8388311688311688)},{'test_acc': np.float64(0.842987012987013)},{'test_acc': np.float64(0.8339826839826839)},93.51839898200706,0.2662283644652325,0.7337716355347674,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8391122661840573,0.0296622402742231,0.0474746481481484,1.919617428313184,0.2,16,2345,1.5636066337756134,1.5636066337756134,0.2608879905954823,72.96534944839347,0.5,0.1875,0.2917058213555179,4.636799810722612e-31,0.0022511505022862,0.0164624234703797,0.018713573972666,3.234154491640095,0.0231147068280834,0.9435665008621972,20,200,200,4,sign_flip,"{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}","{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}"
H8lQkVpaP-2dJLRp9_Z7_,0.5,0.1,random-regular,MH,"{'er_p': np.float64(0.4493598410330987), 'rand_reg_deg': 5}",0.2,100,1,2026-08-04 16:40:14.606868,1.608515959918358,0.0771666666666666,0.1999999999999999,0.7482944216315335,0.936093069298066,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.175,0.804257979959179,30707,2293,876,6124,0.1251428571428571,0.0694848484848484,0.9592381796536796,0.882922547607033,{'test_acc': np.float64(0.8654978354978355)},{'test_acc': np.float64(0.8360606060606061)},{'test_acc': np.float64(0.8386147186147186)},{'test_acc': np.float64(0.8428138528138528)},{'test_acc': np.float64(0.8325541125541126)},94.595157912001,0.2662283644652325,0.7337716355347674,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8391122661840573,0.0296622402742231,0.0474746481481484,1.919617428313184,0.2,16,2345,1.5636066337756134,1.5636066337756134,0.2608879905954823,72.96534944839347,0.5,0.1875,0.2917058213555179,4.636799810722612e-31,0.0022511505022862,0.0164624234703797,0.018713573972666,3.234154491640095,0.0231147068280834,0.9435665008621972,20,200,200,4,sign_flip,"{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}","{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}"
47cq3Mx15a7HReqAyfDc2,0.5,0.1,random-regular,MH,"{'er_p': np.float64(0.4493598410330987), 'rand_reg_deg': 5}",0.2,100,1,2026-08-04 16:41:49.800090,1.608515959918358,0.0771666666666666,0.1999999999999999,0.7482944216315335,0.936093069298066,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.175,0.804257979959179,30707,2293,876,6124,0.1251428571428571,0.0694848484848484,0.9592381796536796,0.882922547607033,{'test_acc': np.float64(0.865974025974026)},{'test_acc': np.float64(0.8373160173160173)},{'test_acc': np.float64(0.8554978354978355)},{'test_acc': np.float64(0.8516017316017316)},{'test_acc': np.float64(0.8458874458874459)},96.9722487879917,0.2662283644652325,0.7337716355347674,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8391122661840573,0.0296622402742231,0.0474746481481484,1.919617428313184,0.2,16,2345,1.5636066337756134,1.5636066337756134,0.2608879905954823,72.96534944839347,0.5,0.1875,0.2917058213555179,4.636799810722612e-31,0.0022511505022862,0.0164624234703797,0.018713573972666,3.234154491640095,0.0231147068280834,0.9435665008621972,20,200,200,4,sign_flip,"{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}","{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}"
UUJN32ylM48thkrdnJF7W,0.5,0.1,random-regular,MH,"{'er_p': np.float64(0.4493598410330987), 'rand_reg_deg': 5}",0.2,100,1,2026-08-04 16:43:27.137300,1.608515959918358,0.0771666666666666,0.1999999999999999,0.7482944216315335,0.936093069298066,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.175,0.804257979959179,30707,2293,876,6124,0.1251428571428571,0.0694848484848484,0.9592381796536796,0.882922547607033,{'test_acc': np.float64(0.8653679653679653)},{'test_acc': np.float64(0.8175757575757576)},{'test_acc': np.float64(0.8550649350649351)},{'test_acc': np.float64(0.8517316017316018)},{'test_acc': np.float64(0.8476190476190476)},93.69694186298877,0.2662283644652325,0.7337716355347674,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8391122661840573,0.0296622402742231,0.0474746481481484,1.919617428313184,0.2,16,2345,1.5636066337756134,1.5636066337756134,0.2608879905954823,72.96534944839347,0.5,0.1875,0.2917058213555179,4.636799810722612e-31,0.0022511505022862,0.0164624234703797,0.018713573972666,3.234154491640095,0.0231147068280834,0.9435665008621972,20,200,200,4,sign_flip,"{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}","{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}"
5E9re6TW24o2nHGmSoZDG,0.5,0.1,random-regular,MH,"{'er_p': np.float64(0.4493598410330987), 'rand_reg_deg': 5}",0.2,100,1,2026-08-04 16:45:01.508765,1.608515959918358,0.0771666666666666,0.1999999999999999,0.7482944216315335,0.936093069298066,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.175,0.804257979959179,30707,2293,876,6124,0.1251428571428571,0.0694848484848484,0.9592381796536796,0.882922547607033,{'test_acc': np.float64(0.8654978354978355)},{'test_acc': np.float64(0.8174458874458874)},{'test_acc': np.float64(0.8548484848484849)},{'test_acc': np.float64(0.8521645021645021)},{'test_acc': np.float64(0.8479653679653679)},95.2361993480008,0.2662283644652325,0.7337716355347674,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8391122661840573,0.0296622402742231,0.0474746481481484,1.919617428313184,0.2,16,2345,1.5636066337756134,1.5636066337756134,0.2608879905954823,72.96534944839347,0.5,0.1875,0.2917058213555179,4.636799810722612e-31,0.0022511505022862,0.0164624234703797,0.018713573972666,3.234154491640095,0.0231147068280834,0.9435665008621972,20,200,200,4,sign_flip,"{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}","{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}"
JmgGJryRJESoeVsJWdNWb,0.5,0.1,random-regular,MH,"{'er_p': np.float64(0.4493598410330987), 'rand_reg_deg': 5}",0.2,100,1,2026-08-04 16:46:37.143117,1.608515959918358,0.0771666666666666,0.1999999999999999,0.7482944216315335,0.936093069298066,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.175,0.804257979959179,30707,2293,876,6124,0.1251428571428571,0.0694848484848484,0.9592381796536796,0.882922547607033,{'test_acc': np.float64(0.865974025974026)},{'test_acc': np.float64(0.8283116883116883)},{'test_acc': np.float64(0.8606060606060606)},{'test_acc': np.float64(0.8500865800865801)},{'test_acc': np.float64(0.8508225108225108)},95.69957638598862,0.2662283644652325,0.7337716355347674,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8391122661840573,0.0296622402742231,0.0474746481481484,1.919617428313184,0.2,16,2345,1.5636066337756134,1.5636066337756134,0.2608879905954823,72.96534944839347,0.5,0.1875,0.2917058213555179,4.636799810722612e-31,0.0022511505022862,0.0164624234703797,0.018713573972666,3.234154491640095,0.0231147068280834,0.9435665008621972,20,200,200,4,sign_flip,"{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}","{'sign_flip', 'IPM', 'gaussian', 'ALIE', 'label_flip'}"
