train_atk,test_atk,C_fpr,C_fnr,C_tau,cv_ap,cv_params,prevalence,tau,tn,fp,fn,tp,beta_C,gamma_C,roc_auc,avg_prec
label_flip,label_flip,0.002156862745098039,0.19789473684210523,0.9981433580358942,0.9998954527941193,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3088235294117647,0.9981433580358942,9394,6,1874,2326,0.4461904761904762,0.0006382978723404255,0.9956287993920971,0.9895239832138679
label_flip,sign_flip,0.002156862745098039,0.19789473684210523,0.9981433580358942,0.9998954527941193,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3,0.9981433580358942,9796,4,4181,19,0.9954761904761905,0.00040816326530612246,0.6454751700680272,0.42969035210583345
label_flip,gaussian,0.002156862745098039,0.19789473684210523,0.9981433580358942,0.9998954527941193,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3,0.9981433580358942,9790,10,4200,0,1.0,0.0010204081632653062,0.8977551020408163,0.7365836548579446
label_flip,ALIE,0.002156862745098039,0.19789473684210523,0.9981433580358942,0.9998954527941193,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.2689655172413793,0.9981433580358942,10586,14,3900,0,1.0,0.0013207547169811322,0.6280882680212869,0.30226543040764786
label_flip,IPM,0.002156862745098039,0.19789473684210523,0.9981433580358942,0.9998954527941193,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.323943661971831,0.9981433580358942,9596,4,4600,0,1.0,0.0004166666666666667,0.4568558197463768,0.27339214285145774
sign_flip,label_flip,0.0388,0.19999999999999996,0.7024386314641642,0.8672855599912397,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3088235294117647,0.7024386314641642,9168,232,1861,2339,0.4430952380952381,0.02468085106382979,0.8575112462006079,0.8284429134698356
sign_flip,sign_flip,0.0388,0.19999999999999996,0.7024386314641642,0.8672855599912397,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3,0.7024386314641642,9079,721,1602,2598,0.38142857142857145,0.07357142857142857,0.8961713556851313,0.8120988509443292
sign_flip,gaussian,0.0388,0.19999999999999996,0.7024386314641642,0.8672855599912397,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3,0.7024386314641642,9517,283,4200,0,1.0,0.028877551020408163,0.918061224489796,0.7632200617844812
sign_flip,ALIE,0.0388,0.19999999999999996,0.7024386314641642,0.8672855599912397,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.2689655172413793,0.7024386314641642,9427,1173,2621,1279,0.6720512820512821,0.11066037735849056,0.8919877116594098,0.5627735124482074
sign_flip,IPM,0.0388,0.19999999999999996,0.7024386314641642,0.8672855599912397,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.323943661971831,0.7024386314641642,9076,524,3158,1442,0.6865217391304348,0.05458333333333333,0.7929930027173914,0.6501010533939081
gaussian,label_flip,0.0,0.0,0.7867509686335847,1.0,"{'lr__C': 0.1, 'rbf__gamma': 0.02, 'rbf__n_components': 150}",0.3088235294117647,0.7867509686335847,9400,0,4200,0,1.0,0.0,0.6394614235055724,0.3656332782706778
gaussian,sign_flip,0.0,0.0,0.7867509686335847,1.0,"{'lr__C': 0.1, 'rbf__gamma': 0.02, 'rbf__n_components': 150}",0.3,0.7867509686335847,9800,0,4200,0,1.0,0.0,0.6739060981535471,0.40570843582294003
gaussian,gaussian,0.0,0.0,0.7867509686335847,1.0,"{'lr__C': 0.1, 'rbf__gamma': 0.02, 'rbf__n_components': 150}",0.3,0.7867509686335847,9800,0,0,4200,0.0,0.0,1.0,1.0
gaussian,ALIE,0.0,0.0,0.7867509686335847,1.0,"{'lr__C': 0.1, 'rbf__gamma': 0.02, 'rbf__n_components': 150}",0.2689655172413793,0.7867509686335847,10600,0,3900,0,1.0,0.0,0.9886017900338655,0.9515806327983457
gaussian,IPM,0.0,0.0,0.7867509686335847,1.0,"{'lr__C': 0.1, 'rbf__gamma': 0.02, 'rbf__n_components': 150}",0.323943661971831,0.7867509686335847,9600,0,4600,0,1.0,0.0,0.847324705615942,0.5979925979697412
ALIE,label_flip,0.0,0.03162162162162163,0.5367210346699123,0.9982045997289252,"{'lr__C': 0.1, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3088235294117647,0.5367210346699123,9396,4,4200,0,1.0,0.000425531914893617,0.3882302938196555,0.24777312265602147
ALIE,sign_flip,0.0,0.03162162162162163,0.5367210346699123,0.9982045997289252,"{'lr__C': 0.1, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3,0.5367210346699123,9695,105,4137,63,0.985,0.010714285714285714,0.6420830417881439,0.37692604927649986
ALIE,gaussian,0.0,0.03162162162162163,0.5367210346699123,0.9982045997289252,"{'lr__C': 0.1, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3,0.5367210346699123,9771,29,4200,0,1.0,0.0029591836734693877,0.9211224489795917,0.7674036177599123
ALIE,ALIE,0.0,0.03162162162162163,0.5367210346699123,0.9982045997289252,"{'lr__C': 0.1, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.2689655172413793,0.5367210346699123,10599,1,73,3827,0.01871794871794872,9.433962264150943e-05,0.9999445573294631,0.9998505775928914
