{alpha_init: 0.5, alpha_decay: 0.1, atk_type: sign_flip, graph_type: regular, graph_deg: 3, data_heterogeneity: 0.5, sys: {num_nodes: 20, b: 2, K: 150, logging_freq: 20}, train: {num_nodes: 20, b: 2, K: 150, iter_sample_sz: 75}, img: generalization_Vum5bdnQ2oKyLYnCvC1wj.png, C_FPR: 0.0683, C_FNR: 0.0093, C_tau: 0.4067, proj_const: 3.7454}
{alpha_init: 0.5, alpha_decay: 0.1, atk_type: sign_flip, graph_type: regular, graph_deg: 4, data_heterogeneity: 0.5, sys: {num_nodes: 20, b: 2, K: 150, logging_freq: 20}, train: {num_nodes: 20, b: 2, K: 150, iter_sample_sz: 75}, img: generalization_H27MOYmP3jFkKihTwGQrr.png, C_FPR: 0.095, C_FNR: 0.1867, C_tau: 0.6737, proj_const: 3.7603}
{alpha_init: 0.5, alpha_decay: 0.1, atk_type: sign_flip, graph_type: regular, graph_deg: 5, data_heterogeneity: 0.5, sys: {num_nodes: 20, b: 2, K: 150, logging_freq: 20}, train: {num_nodes: 20, b: 2, K: 150, iter_sample_sz: 75}, img: generalization_4ZryAHf4-WdH4u_7ebUfW.png, C_FPR: 0.0999, C_FNR: 0.3346, C_tau: 0.7112, proj_const: 3.7104}
{alpha_init: 0.5, alpha_decay: 0.1, atk_type: sign_flip, graph_type: regular, graph_deg: 6, data_heterogeneity: 0.5, sys: {num_nodes: 20, b: 2, K: 150, logging_freq: 20}, train: {num_nodes: 20, b: 2, K: 150, iter_sample_sz: 75}, img: generalization_-hXp0fZO3O7rrYZihs5-G.png, C_FPR: 0.0993, C_FNR: 0.3455, C_tau: 0.6354, proj_const: 3.7345}
{alpha_init: 0.5, alpha_decay: 0.1, atk_type: sign_flip, graph_type: regular, graph_deg: 9, data_heterogeneity: 0.5, sys: {num_nodes: 20, b: 2, K: 150, logging_freq: 20}, train: {num_nodes: 20, b: 2, K: 150, iter_sample_sz: 75}, img: generalization_CLCqHMELYnOxcM7P49pMU.png, C_FPR: 0.0987, C_FNR: 0.2787, C_tau: 0.5956, proj_const: 3.7603}
{alpha_init: 0.5, alpha_decay: 0.1, atk_type: sign_flip, graph_type: regular, graph_deg: 10, data_heterogeneity: 0.5, sys: {num_nodes: 20, b: 2, K: 150, logging_freq: 20}, train: {num_nodes: 20, b: 2, K: 150, iter_sample_sz: 75}, img: generalization_T5Pxjm_IY401gm8958qx0.png, C_FPR: 0.0994, C_FNR: 0.3213, C_tau: 0.6579, proj_const: 3.7418}
{alpha_init: 0.5, alpha_decay: 0.1, atk_type: sign_flip, graph_type: erdos, graph_deg: 6, data_heterogeneity: 0.5, sys: {num_nodes: 20, b: 2, K: 150, logging_freq: 20}, train: {num_nodes: 20, b: 2, K: 150, iter_sample_sz: 75}, img: generalization_xBOPKk7ilzjrBQ9IY5gTO.png, C_FPR: 0.0995, C_FNR: 0.4751, C_tau: 0.6201, proj_const: 3.803}
{alpha_init: 0.5, alpha_decay: 0.1, atk_type: sign_flip, graph_type: regular, graph_deg: 6, data_heterogeneity: 0.1, sys: {num_nodes: 20, b: 2, K: 150, logging_freq: 20}, train: {num_nodes: 20, b: 2, K: 150, iter_sample_sz: 75}, img: generalization_nullvYpd6lMmxm30BmTmE.png, C_FPR: 0.0983, C_FNR: 0.4936, C_tau: 0.5951, proj_const: 4.8639}
{alpha_init: 0.5, alpha_decay: 0.1, atk_type: sign_flip, graph_type: regular, graph_deg: 6, data_heterogeneity: 10, sys: {num_nodes: 20, b: 2, K: 150, logging_freq: 20}, train: {num_nodes: 20, b: 2, K: 150, iter_sample_sz: 75}, img: generalization_fRMrFe02pytOeeG85UT_n.png, C_FPR: 0.0972, C_FNR: 0.367, C_tau: 0.6814, proj_const: 1.7908}
{alpha_init: 0.5, alpha_decay: 0.1, atk_type: sign_flip, graph_type: regular, graph_deg: 6, data_heterogeneity: 0.1, sys: {num_nodes: 20, b: 4, K: 150, logging_freq: 20}, train: {num_nodes: 20, b: 4, K: 150, iter_sample_sz: 75}, img: generalization_E1d8xjlb-lEjDD_oT2JsB.png, C_FPR: 0.0997, C_FNR: 0.5205, C_tau: 0.621, proj_const: 4.8828}
{alpha_init: 0.5, alpha_decay: 0.1, atk_type: label_flip, graph_type: regular, graph_deg: 6, data_heterogeneity: 0.1, sys: {num_nodes: 20, b: 4, K: 150, logging_freq: 20}, train: {num_nodes: 20, b: 4, K: 150, iter_sample_sz: 75}, img: generalization_AFkc9WpH3j_2ngktGHY9Q.png, C_FPR: 0.0039, C_FNR: 0.0, C_tau: 0.7149, proj_const: 4.8828}
