id,alpha_init,alpha_decay,graph_type,graph_weights,graph_args,reg_param,batch_sz,data_heterogeneity,timestamp,fstar,proj_const,max_gamma_C,max_beta_C,max_auc_C,g,s2,pi,lam_pi,nu2,nu2_bound,L,mu,tau,m,n_loc,dB_max,dB_pi,eps_opt,eps_byz,epsilon,byz_cons_floor,alpha_max_conv,alpha_max_stab,n,K,b,sim_gamma_C,sim_beta_C,val_gamma_C,val_beta_C,val_auc,tau_log,RDSGD_T3,IOS_T3,SCC_T3,TriMean_T3,CooMed_T3,RDSGD_T0,IOS_T0,SCC_T0,TriMean_T0,CooMed_T0,DSGD_T0,atk_type,train_atks,val_atks
ZyvTskWt7iLAM0xgcbYvV,0.5,0.1,barabasi-albert,MH,{'ba_m': 4},0.2,100,1,2026-07-31 20:25:03.000733,34.025632850008144,1.7712754658538046,1.0,0.0,0.9997236805747444,0.3697944430672382,0.6302055569327618,"[0.05882353 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353
 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353
 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353]",0.7860338937078071,0.0123562748753056,0.0289447498713992,2.0555939244674097,0.2,0.8856377329269023,17,1217,0.2222222222222222,0.0695654019183431,0.0039829856667602,0.0006791229511319,0.0046621086178921,0.0382065534988381,0.0299827735645023,0.8866844241355364,20,140,3,0.25,0.5,0.0454861111111111,0.0098639455782313,0.9980477776428032,0.2149275514738884,0.8572294372294372,0.8316883116883117,0.8503896103896104,0.8393506493506494,0.8425541125541125,0.8572727272727273,0.8578787878787879,0.8577056277056277,0.8568831168831169,0.8514285714285714,0.8578787878787879,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
lmB9G74dcem4idVCtbmEV,0.5,0.1,barbell,MH,"{'barbell_m1': 9, 'barbell_m2': 2}",0.2,100,1,2026-07-31 20:30:40.097425,34.025632850008144,1.76815743175529,1.0,0.1818181818181818,0.9994282447112636,-0.0600140088416749,1.060014008841675,"[0.05882353 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353
 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353
 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353]",0.9916487405113767,0.0766467842838749,0.2194082840236818,2.0555939244674097,0.2,0.884078715877645,17,1217,0.2222222222222222,0.1418300653594787,0.003983067593664,0.0013951580984775,0.0053782256921416,0.0384302047885433,-0.0048659098900272,0.8866844241355364,20,140,3,0.25,0.5,0.2076923076923077,0.0099567099567099,0.9819317289853003,0.1342678136786689,0.8587445887445887,0.8507792207792207,0.849004329004329,0.0993939393939394,0.8387445887445888,0.8583549783549783,0.858008658008658,0.8581818181818182,0.8573593073593073,0.8506493506493507,0.858008658008658,sign_flip,"{'sign_flip', 'gaussian', 'label_flip'}","{'sign_flip', 'gaussian', 'label_flip'}"
JXfC95R5OJ1Q_OUwDqbK6,0.5,0.1,random-regular,MH,{'rand_reg_deg': 4},0.2,100,1,2026-07-31 20:43:00.133853,34.025632850008144,1.7632065837481563,1.0,0.4,1.0,0.3324567544472511,0.6675432455527489,"[0.05882353 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353
 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353
 0.05882353 0.05882353 0.05882353 0.05882353 0.05882353]",0.8152220891765107,0.002956190871434,0.0041165279429251,2.0555939244674097,0.2,0.8816032918740782,17,1217,0.4,0.1176470588235293,0.0039901712024076,0.0011590511643373,0.0051492223667449,0.1243558982789138,0.0269554499140184,0.8866844241355364,20,140,3,0.25,0.5,0.0051724137931034,0.01,0.999692861052467,0.695692527941752,0.8576623376623377,0.8464502164502165,0.84991341991342,0.8402597402597403,0.8377922077922078,0.8577056277056277,0.8576623376623377,0.8575757575757575,0.8576623376623377,0.8544588744588745,0.8576623376623377,sign_flip,"{'gaussian', 'label_flip', 'sign_flip'}","{'gaussian', 'label_flip', 'sign_flip'}"
M5ihss-O-VABWP7FX5ebt,0.5,0.1,random-regular,MH_gen,"{'rand_reg_deg': 4, 'dirichlet_alpha': 10, 'MH_target_pi': array([0.05550154, 0.06506976, 0.0446479 , 0.07894959, 0.04213602,
       0.04332647, 0.0225586 , 0.03467782, 0.04451716, 0.06069116,
       0.05114237, 0.04270348, 0.07035842, 0.04155583, 0.04584595,
       0.03780945, 0.05063219, 0.0570827 , 0.0428718 , 0.06792178])}",0.2,100,1,2026-07-31 21:50:17.481234,34.025632850008144,1.7908778083459722,1.0,0.9,0.999090909090909,0.2393420030915781,0.7606579969084218,"[0.0662259  0.07764294 0.05327505 0.09420472 0.0502778  0.05169828
 0.02691751 0.04137849 0.05311905 0.07241828 0.05095492 0.08395351
 0.0495855  0.05470459 0.04511522 0.06041566 0.06811257]",0.8471857271602538,0.0429343406043739,0.2085163464026553,2.0555939244674097,0.2,0.8954389041729861,17,1217,0.4739836803033392,0.1371858964338804,0.0039931115166565,0.0013727572779639,0.0053658687946204,0.1801352456297897,0.0194057461319514,0.8866844241355364,20,140,3,0.25,0.5,0.0636288998357964,0.01,0.9962015012901712,0.1615218987836762,0.8574025974025974,0.8475757575757575,0.8493506493506493,0.8415584415584415,0.8407792207792207,0.8581818181818182,0.8559307359307359,0.8559307359307359,0.8576623376623377,0.8527705627705627,0.8559307359307359,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
k-KDcnk530AmI0eslc-zJ,0.5,0.1,watts-strogatz,MH_gen,"{'ws_k': 4, 'ws_p': 0.1, 'dirichlet_alpha': 10, 'MH_target_pi': array([0.05550154, 0.06506976, 0.0446479 , 0.07894959, 0.04213602,
       0.04332647, 0.0225586 , 0.03467782, 0.04451716, 0.06069116,
       0.05114237, 0.04270348, 0.07035842, 0.04155583, 0.04584595,
       0.03780945, 0.05063219, 0.0570827 , 0.0428718 , 0.06792178])}",0.2,100,1,2026-07-31 21:54:47.933256,34.025632850008144,1.7908778083459722,1.0,0.2,0.9993939393939394,-0.1288286912999157,1.1288286912999157,"[0.0662259  0.07764294 0.05327505 0.09420472 0.0502778  0.05169828
 0.02691751 0.04137849 0.05311905 0.07241828 0.05095492 0.08395351
 0.0495855  0.05470459 0.04511522 0.06041566 0.06811257]",0.9868171473309204,0.1550206090335801,0.7335165163772667,2.0555939244674097,0.2,0.8954389041729861,17,1217,0.4431108608697122,0.1478928753168514,0.0039917447807895,0.0014681519619857,0.0054598967427752,0.1561838687474322,-0.0104453745919438,0.8866844241355364,20,140,3,0.25,0.5,0.2989795918367346,0.0099206349206348,0.976120728053126,0.1181140685587128,0.8573160173160174,0.8556277056277056,0.8473160173160174,0.8471861471861472,0.8453679653679653,0.8574891774891775,0.8559740259740259,0.8559740259740259,0.8577922077922078,0.8542424242424242,0.8559740259740259,sign_flip,"{'gaussian', 'label_flip', 'sign_flip'}","{'gaussian', 'label_flip', 'sign_flip'}"
6mfQOh1xcgLYNe8V0cuDQ,0.5,0.1,complete,MH_gen,"{'dirichlet_alpha': 10, 'MH_target_pi': array([0.05550154, 0.06506976, 0.0446479 , 0.07894959, 0.04213602,
       0.04332647, 0.0225586 , 0.03467782, 0.04451716, 0.06069116,
       0.05114237, 0.04270348, 0.07035842, 0.04155583, 0.04584595,
       0.03780945, 0.05063219, 0.0570827 , 0.0428718 , 0.06792178])}",0.2,100,1,2026-07-31 21:57:59.104484,34.025632850008144,1.7908778083459729,1.0,0.2941176470588235,0.9999321527919126,0.34752063924013,0.65247936075987,"[0.0662259  0.07764294 0.05327505 0.09420472 0.0502778  0.05169828
 0.02691751 0.04137849 0.05311905 0.07241828 0.05095492 0.08395351
 0.0495855  0.05470459 0.04511522 0.06041566 0.06811257]",0.7874284017325011,0.0324358729048689,0.1736725216276869,2.0555939244674097,0.2,0.8954389041729863,17,1217,0.1578947368421052,0.1428665930581896,0.003980543416456,0.0014282666136413,0.0054088100300973,0.0199710791518417,0.0281768231802048,0.8866844241355364,20,140,3,0.25,0.5,0.6195203081232493,0.0099906629318393,0.9393623707652996,0.091946473450794,0.8573593073593073,0.8185281385281385,0.849004329004329,0.8338095238095238,0.8285281385281386,0.8571428571428571,0.8557575757575757,0.8556709956709957,0.8577056277056277,0.8480952380952381,0.8557575757575757,sign_flip,"{'gaussian', 'label_flip', 'sign_flip'}","{'gaussian', 'label_flip', 'sign_flip'}"
GgnvdtfLjPlVSzSUfeFix,0.5,0.1,erdos-renyi,MH_gen,"{'er_p': np.float64(0.4493598410330987), 'dirichlet_alpha': 10, 'MH_target_pi': array([0.05550154, 0.06506976, 0.0446479 , 0.07894959, 0.04213602,
       0.04332647, 0.0225586 , 0.03467782, 0.04451716, 0.06069116,
       0.05114237, 0.04270348, 0.07035842, 0.04155583, 0.04584595,
       0.03780945, 0.05063219, 0.0570827 , 0.0428718 , 0.06792178])}",0.2,100,1,2026-07-31 22:04:21.776653,34.025632850008144,1.7924840178124302,1.0,0.4166666666666667,0.9976265822784812,0.3087997916031199,0.6912002083968801,"[0.0662259  0.07764294 0.05327505 0.09420472 0.0502778  0.05169828
 0.02691751 0.04137849 0.05311905 0.07241828 0.05095492 0.08395351
 0.0495855  0.05470459 0.04511522 0.06041566 0.06811257]",0.7889432462076897,0.0687687626601527,0.5100319261279619,2.0555939244674097,0.2,0.8962420089062151,17,1217,0.3525575618299715,0.1373659841504223,0.0039881745066667,0.0013648731691487,0.0053530476758154,0.0990490076731104,0.0250373535946249,0.8866844241355364,20,140,3,0.25,0.5,0.3228006456820016,0.0099206349206348,0.975884489859974,0.1103653684983339,0.8572727272727273,0.8196969696969697,0.8493506493506493,0.8244588744588744,0.8203030303030303,0.8575324675324675,0.8557142857142858,0.8557142857142858,0.8593073593073594,0.8478787878787879,0.8557142857142858,sign_flip,"{'sign_flip', 'gaussian', 'label_flip'}","{'sign_flip', 'gaussian', 'label_flip'}"
Ywf6_2m4_gig66jorndcj,0.5,0.1,geometric,MH_gen,"{'geom_radius': 0.4, 'dirichlet_alpha': 10, 'MH_target_pi': array([0.05550154, 0.06506976, 0.0446479 , 0.07894959, 0.04213602,
       0.04332647, 0.0225586 , 0.03467782, 0.04451716, 0.06069116,
       0.05114237, 0.04270348, 0.07035842, 0.04155583, 0.04584595,
       0.03780945, 0.05063219, 0.0570827 , 0.0428718 , 0.06792178])}",0.2,100,1,2026-07-31 22:07:34.978737,34.025632850008144,1.7903140904428432,1.0,0.0384615384615384,0.999877511024008,0.0336697863859793,0.9663302136140206,"[0.0662259  0.07764294 0.05327505 0.09420472 0.0502778  0.05169828
 0.02691751 0.04137849 0.05311905 0.07241828 0.05095492 0.08395351
 0.0495855  0.05470459 0.04511522 0.06041566 0.06811257]",0.9406508159177672,0.0815062561272593,0.6059822882741434,2.0555939244674097,0.2,0.8951570452214216,17,1217,0.3160101968654812,0.1509085927327657,0.0039865499291823,0.001475547670319,0.0054620975995014,0.0782154183211883,0.0027299317231557,0.8866844241355364,20,140,3,0.25,0.5,0.3167989417989418,0.0097744360902255,0.9861004915286452,0.0608588085466034,0.8572727272727273,0.8463636363636363,0.8487445887445887,0.8313419913419914,0.8267532467532468,0.8574025974025974,0.8556709956709957,0.8554978354978355,0.8561904761904762,0.8458441558441558,0.8556709956709957,sign_flip,"{'label_flip', 'sign_flip', 'gaussian'}","{'label_flip', 'sign_flip', 'gaussian'}"
UGObxniJKMPUBfazTrl20,0.5,0.1,geometric,MH_gen,"{'geom_radius': 0.4, 'dirichlet_alpha': 10, 'MH_target_pi': array([0.08230716, 0.06761487, 0.04065708, 0.04278769, 0.05197116,
       0.06710367, 0.06258804, 0.05565796, 0.03770967, 0.05708566,
       0.04054264, 0.05505108, 0.05557909, 0.04541442, 0.04448376,
       0.03299728, 0.03399332, 0.05695757, 0.02847084, 0.04102704])}",0.2,100,1,2026-08-01 17:03:37.518031,,1.8204571388589947,1.0,0.0,1.0,-0.0031835825685757,1.0031835825685758,"[0.09795345 0.08046821 0.05092147 0.07448579 0.06623833 0.04487814
 0.06793744 0.04824965 0.06551609 0.06614447 0.05404754 0.05293997
 0.03926994 0.04045533 0.06778499 0.03388304 0.04882613]",0.979281262201521,0.0441917920695716,0.2446569878191198,1.884124950718232,0.2,0.9102285694294974,17,2345,0.3333333333333333,0.0768453656452698,0.0018967798111329,0.0004039057738437,0.0023006855849767,0.0916588221160671,-0.0002816146002208,0.9596353612631334,20,140,3,0.25,0.5,0.8507936507936508,0.0099567099567099,0.884930818006215,0.0956400953430664,0.8699134199134199,0.8581818181818182,0.8392207792207792,0.8551948051948052,0.8572727272727273,0.8700865800865801,0.8596536796536797,0.8633766233766234,0.8634199134199134,0.8622077922077922,0.8625108225108226,sign_flip,"{'sign_flip', 'gaussian', 'label_flip'}","{'sign_flip', 'gaussian', 'label_flip'}"
Xnn_7OCUHnsLaexyiv7RE,0.5,0.1,geometric,MH_gen,"{'geom_radius': 0.4, 'dirichlet_alpha': 10, 'MH_target_pi': array([0.08230716, 0.06761487, 0.04065708, 0.04278769, 0.05197116,
       0.06710367, 0.06258804, 0.05565796, 0.03770967, 0.05708566,
       0.04054264, 0.05505108, 0.05557909, 0.04541442, 0.04448376,
       0.03299728, 0.03399332, 0.05695757, 0.02847084, 0.04102704])}",0.2,100,100,2026-08-01 19:34:10.548560,,1.5423320768230135,0.3846153846153846,1.0,1.0,0.3812772019955525,0.6187227980044475,"[0.09418364 0.07737133 0.04652368 0.04896172 0.05947032 0.07678637
 0.07161915 0.0636891  0.04315097 0.06299465 0.06359885 0.05196748
 0.05090253 0.03775861 0.03889837 0.06517623 0.04694701]",0.77959162523812,0.0109596958630342,0.0573641890548606,0.9952287837742309,0.2,0.7711660384115068,17,2345,0.2540965714012516,0.131456206380282,0.0010493471748326,0.0117585845784637,0.0128079317532963,0.767933116032638,0.0638508465275735,1.6733198088524146,20,140,3,0.25,0.5,0.042010582010582,0.1999999999999999,0.9568573651682896,0.5064097458421603,0.8641558441558441,0.8622943722943723,0.8632900432900433,0.86004329004329,0.860909090909091,0.8637662337662337,0.8626406926406927,0.8636796536796537,0.8645454545454545,0.8635064935064936,0.8643290043290043,sign_flip,"{'label_flip', 'gaussian', 'sign_flip'}","{'label_flip', 'gaussian', 'sign_flip'}"
